Sl. No,UNITS,Population in Lakhs,Crime rate for 2019,Category,Crime_Type,Crimes,Year,% Variation in 2019 over 2018
1489,Cyberabad,62.1,1.59,Bodily Crimes,Murder,68,2018,0.456
1490,Hyderabad,39.53,2.1,Bodily Crimes,Murder,76,2018,0.092
1491,Karimnagar,10.15,1.58,Bodily Crimes,Murder,14,2018,0.143
1492,Khammam,14.11,0.92,Bodily Crimes,Murder,25,2018,-0.48
1493,Nizamabad,15.87,1.76,Bodily Crimes,Murder,19,2018,0.474
1494,Rachakonda,43.71,1.9,Bodily Crimes,Murder,79,2018,0.051
1495,Ramagundam,16.12,1.99,Bodily Crimes,Murder,38,2018,-0.158
1496,Siddipet,10.22,0.88,Bodily Crimes,Murder,16,2018,-0.438
1497,Warangal,23.75,1.81,Bodily Crimes,Murder,46,2018,-0.065
1498,Adilabad,7.53,1.46,Bodily Crimes,Murder,14,2018,-0.214
1499,Bhadradri Kothagudem,11.12,3.15,Bodily Crimes,Murder,26,2018,0.346
1500,jagtial,9.95,1.61,Bodily Crimes,Murder,29,2018,-0.448
1501,Jayashankar Bhupalpally,4.26,2.58,Bodily Crimes,Murder,21,2018,-0.476
1502,Jogulamba Gadwal,6.19,1.78,Bodily Crimes,Murder,8,2018,0.375
1503,Kamareddy,10.04,2.09,Bodily Crimes,Murder,19,2018,0.105
1504,Kumaram Bheem Asifabad,5.25,3.43,Bodily Crimes,Murder,15,2018,0.2
1505,Mahabubabad,7.84,1.66,Bodily Crimes,Murder,17,2018,-0.235
1506,Mahabubnagar,9.29,1.83,Bodily Crimes,Murder,18,2018,-0.056
1507,Medak,7.88,2.03,Bodily Crimes,Murder,16,2018,0
1508,Mulugu,2.93,2.73,Bodily Crimes,Murder,,2018,0
1509,Nagarkurnool,8.71,2.07,Bodily Crimes,Murder,13,2018,0.385
1510,Nalgonda,16.52,2.72,Bodily Crimes,Murder,33,2018,0.364
1511,Narayanpet,5.76,1.56,Bodily Crimes,Murder,,2018,0
1512,Nirmal,7.19,1.25,Bodily Crimes,Murder,14,2018,-0.357
1513,Rajanna Sircilla,5.62,1.42,Bodily Crimes,Murder,16,2018,-0.5
1514,Sanga Reddy,15.37,2.47,Bodily Crimes,Murder,29,2018,0.31
1515,Suryapet,11.09,2.52,Bodily Crimes,Murder,19,2018,0.474
1516,Vikarabad,9.37,2.77,Bodily Crimes,Murder,22,2018,0.182
1517,Wanaparthy,5.87,2.21,Bodily Crimes,Murder,6,2018,1.167
1518,RP Secunderabad,,0,Bodily Crimes,Murder,0,2018,0
1519,CID,,0,Bodily Crimes,Murder,,2018,0
1520,Cyberabad,62.1,1.59,Bodily Crimes,Murder,99,2019,0.456
1521,Hyderabad,39.53,2.1,Bodily Crimes,Murder,83,2019,0.092
1522,Karimnagar,10.15,1.58,Bodily Crimes,Murder,16,2019,0.143
1523,Khammam,14.11,0.92,Bodily Crimes,Murder,13,2019,-0.48
1524,Nizamabad,15.87,1.76,Bodily Crimes,Murder,28,2019,0.474
1525,Rachakonda,43.71,1.9,Bodily Crimes,Murder,83,2019,0.051
1526,Ramagundam,16.12,1.99,Bodily Crimes,Murder,32,2019,-0.158
1527,Siddipet,10.22,0.88,Bodily Crimes,Murder,9,2019,-0.438
1528,Warangal,23.75,1.81,Bodily Crimes,Murder,43,2019,-0.065
1529,Adilabad,7.53,1.46,Bodily Crimes,Murder,11,2019,-0.214
1530,Bhadradri Kothagudem,11.12,3.15,Bodily Crimes,Murder,35,2019,0.346
1531,jagtial,9.95,1.61,Bodily Crimes,Murder,16,2019,-0.448
1532,Jayashankar Bhupalpally,4.26,2.58,Bodily Crimes,Murder,11,2019,-0.476
1533,Jogulamba Gadwal,6.19,1.78,Bodily Crimes,Murder,11,2019,0.375
1534,Kamareddy,10.04,2.09,Bodily Crimes,Murder,21,2019,0.105
1535,Kumaram Bheem Asifabad,5.25,3.43,Bodily Crimes,Murder,18,2019,0.2
1536,Mahabubabad,7.84,1.66,Bodily Crimes,Murder,13,2019,-0.235
1537,Mahabubnagar,9.29,1.83,Bodily Crimes,Murder,17,2019,-0.056
1538,Medak,7.88,2.03,Bodily Crimes,Murder,16,2019,0
1539,Mulugu,2.93,2.73,Bodily Crimes,Murder,8,2019,0
1540,Nagarkurnool,8.71,2.07,Bodily Crimes,Murder,18,2019,0.385
1541,Nalgonda,16.52,2.72,Bodily Crimes,Murder,45,2019,0.364
1542,Narayanpet,5.76,1.56,Bodily Crimes,Murder,9,2019,0
1543,Nirmal,7.19,1.25,Bodily Crimes,Murder,9,2019,-0.357
1544,Rajanna Sircilla,5.62,1.42,Bodily Crimes,Murder,8,2019,-0.5
1545,Sanga Reddy,15.37,2.47,Bodily Crimes,Murder,38,2019,0.31
1546,Suryapet,11.09,2.52,Bodily Crimes,Murder,28,2019,0.474
1547,Vikarabad,9.37,2.77,Bodily Crimes,Murder,26,2019,0.182
1548,Wanaparthy,5.87,2.21,Bodily Crimes,Murder,13,2019,1.167
1549,RP Secunderabad,,0,Bodily Crimes,Murder,0,2019,0
1550,CID,,0,Bodily Crimes,Murder,,2019,0
1551,Cyberabad,62.1,4.57,Bodily Crimes,Rape,250,2018,0.136
1552,Hyderabad,39.53,7.24,Bodily Crimes,Rape,250,2018,0.144
1553,Karimnagar,10.15,2.46,Bodily Crimes,Rape,35,2018,-0.286
1554,Khammam,14.11,5.24,Bodily Crimes,Rape,58,2018,0.276
1555,Nizamabad,15.87,3.84,Bodily Crimes,Rape,27,2018,1.259
1556,Rachakonda,43.71,6.95,Bodily Crimes,Rape,286,2018,0.063
1557,Ramagundam,16.12,4.4,Bodily Crimes,Rape,55,2018,0.291
1558,Siddipet,10.22,5.28,Bodily Crimes,Rape,34,2018,0.588
1559,Warangal,23.75,3.12,Bodily Crimes,Rape,51,2018,0.451
1560,Adilabad,7.53,4.25,Bodily Crimes,Rape,27,2018,0.185
1561,Bhadradri Kothagudem,11.12,6.21,Bodily Crimes,Rape,54,2018,0.278
1562,jagtial,9.95,2.91,Bodily Crimes,Rape,34,2018,-0.147
1563,Jayashankar Bhupalpally,4.26,2.11,Bodily Crimes,Rape,23,2018,-0.609
1564,Jogulamba Gadwal,6.19,4.85,Bodily Crimes,Rape,20,2018,0.5
1565,Kamareddy,10.04,2.39,Bodily Crimes,Rape,20,2018,0.2
1566,Kumaram Bheem Asifabad,5.25,5.33,Bodily Crimes,Rape,24,2018,0.167
1567,Mahabubabad,7.84,4.97,Bodily Crimes,Rape,22,2018,0.773
1568,Mahabubnagar,9.29,9.58,Bodily Crimes,Rape,110,2018,-0.191
1569,Medak,7.88,4.31,Bodily Crimes,Rape,33,2018,0.03
1570,Mulugu,2.93,2.39,Bodily Crimes,Rape,,2018,0
1571,Nagarkurnool,8.71,2.76,Bodily Crimes,Rape,35,2018,-0.314
1572,Nalgonda,16.52,4.72,Bodily Crimes,Rape,52,2018,0.5
1573,Narayanpet,5.76,5.73,Bodily Crimes,Rape,,2018,0
1574,Nirmal,7.19,2.5,Bodily Crimes,Rape,27,2018,-0.333
1575,Rajanna Sircilla,5.62,3.56,Bodily Crimes,Rape,12,2018,0.667
1576,Sanga Reddy,15.37,3.38,Bodily Crimes,Rape,40,2018,0.3
1577,Suryapet,11.09,6.4,Bodily Crimes,Rape,58,2018,0.224
1578,Vikarabad,9.37,5.44,Bodily Crimes,Rape,20,2018,1.55
1579,Wanaparthy,5.87,4.77,Bodily Crimes,Rape,36,2018,-0.222
1580,RP Secunderabad,,0,Bodily Crimes,Rape,1,2018,0
1581,CID,,0,Bodily Crimes,Rape,1,2018,-1
1582,Cyberabad,62.1,4.57,Bodily Crimes,Rape,284,2019,0.136
1583,Hyderabad,39.53,7.24,Bodily Crimes,Rape,286,2019,0.144
1584,Karimnagar,10.15,2.46,Bodily Crimes,Rape,25,2019,-0.286
1585,Khammam,14.11,5.24,Bodily Crimes,Rape,74,2019,0.276
1586,Nizamabad,15.87,3.84,Bodily Crimes,Rape,61,2019,1.259
1587,Rachakonda,43.71,6.95,Bodily Crimes,Rape,304,2019,0.063
1588,Ramagundam,16.12,4.4,Bodily Crimes,Rape,71,2019,0.291
1589,Siddipet,10.22,5.28,Bodily Crimes,Rape,54,2019,0.588
1590,Warangal,23.75,3.12,Bodily Crimes,Rape,74,2019,0.451
1591,Adilabad,7.53,4.25,Bodily Crimes,Rape,32,2019,0.185
1592,Bhadradri Kothagudem,11.12,6.21,Bodily Crimes,Rape,69,2019,0.278
1593,jagtial,9.95,2.91,Bodily Crimes,Rape,29,2019,-0.147
1594,Jayashankar Bhupalpally,4.26,2.11,Bodily Crimes,Rape,9,2019,-0.609
1595,Jogulamba Gadwal,6.19,4.85,Bodily Crimes,Rape,30,2019,0.5
1596,Kamareddy,10.04,2.39,Bodily Crimes,Rape,24,2019,0.2
1597,Kumaram Bheem Asifabad,5.25,5.33,Bodily Crimes,Rape,28,2019,0.167
1598,Mahabubabad,7.84,4.97,Bodily Crimes,Rape,39,2019,0.773
1599,Mahabubnagar,9.29,9.58,Bodily Crimes,Rape,89,2019,-0.191
1600,Medak,7.88,4.31,Bodily Crimes,Rape,34,2019,0.03
1601,Mulugu,2.93,2.39,Bodily Crimes,Rape,7,2019,0
1602,Nagarkurnool,8.71,2.76,Bodily Crimes,Rape,24,2019,-0.314
