Sl. No,UNITS,Population in Lakhs,Crime rate for 2021,Category,Crime_Type,Crimes,Year,% Variation in 2021 over 2020
1,Cyberabad,62,22.31,Bodily Crimes,Hurt,1512,2020,0
2,Hyderabad,39.43,34.9,Bodily Crimes,Hurt,1203,2020,0
3,Karimnagar,10.05,61,Bodily Crimes,Hurt,630,2020,0
4,Khammam,15.59,54.65,Bodily Crimes,Hurt,837,2020,0
5,Nizamabad,15.71,38.96,Bodily Crimes,Hurt,687,2020,0
6,Rachakonda,52,37.42,Bodily Crimes,Hurt,1848,2020,0
7,Ramagundam,16.02,56.74,Bodily Crimes,Hurt,888,2020,0
8,Siddipet,10.55,79.53,Bodily Crimes,Hurt,861,2020,0
9,Warangal,23.65,65.2,Bodily Crimes,Hurt,1352,2020,0
10,Adilabad,8.51,25.15,Bodily Crimes,Hurt,217,2020,0
11,Bhadradri Kothagudem,13.96,42.69,Bodily Crimes,Hurt,702,2020,0
12,Jagtial,9.85,77.06,Bodily Crimes,Hurt,679,2020,0
13,Jayashankar Bhupalpally,4.5,60.89,Bodily Crimes,Hurt,402,2020,0
14,Jogulamba Gadwal,6.09,52.55,Bodily Crimes,Hurt,291,2020,0
15,Kamareddy,9.94,69.01,Bodily Crimes,Hurt,579,2020,0
16,Kumaram Bheem Asifabad,5.38,40.71,Bodily Crimes,Hurt,219,2020,0
17,Mahabubabad,7.74,60.98,Bodily Crimes,Hurt,478,2020,0
18,Mahabubnagar,9.16,46.29,Bodily Crimes,Hurt,404,2020,0
19,Medak,7.67,60.23,Bodily Crimes,Hurt,537,2020,0
20,Mulugu,2.94,52.72,Bodily Crimes,Hurt,150,2020,0
21,Nagarkurnool,8.61,68.99,Bodily Crimes,Hurt,560,2020,0
22,Nalgonda,16.18,44.19,Bodily Crimes,Hurt,973,2020,0
23,Narayanpet,5.66,41.87,Bodily Crimes,Hurt,298,2020,0
24,Nirmal,7.09,40.76,Bodily Crimes,Hurt,247,2020,0
25,Rajanna Siricilla,5.98,75.75,Bodily Crimes,Hurt,481,2020,0
26,Sanga Reddy,15.27,41.26,Bodily Crimes,Hurt,631,2020,0
27,Suryapet,10.99,81.16,Bodily Crimes,Hurt,945,2020,0
28,Vikarabad,9.41,56.54,Bodily Crimes,Hurt,545,2020,0
29,Wanaparthy,5.77,51.99,Bodily Crimes,Hurt,339,2020,0
30,RP Secunderabad,,,Bodily Crimes,Hurt,8,2020,0
31,CID,,,Bodily Crimes,Hurt,,2020,0
32,Cyberabad,62,1.85,Bodily Crimes,Murder,79,2020,0
33,Hyderabad,39.43,2.26,Bodily Crimes,Murder,67,2020,0
34,Karimnagar,10.05,1.09,Bodily Crimes,Murder,15,2020,0
35,Khammam,15.59,1.28,Bodily Crimes,Murder,28,2020,0
36,Nizamabad,15.71,2.74,Bodily Crimes,Murder,36,2020,0
37,Rachakonda,52,1.56,Bodily Crimes,Murder,66,2020,0
38,Ramagundam,16.02,1.87,Bodily Crimes,Murder,28,2020,0
39,Siddipet,10.55,1.42,Bodily Crimes,Murder,20,2020,0
40,Warangal,23.65,2.07,Bodily Crimes,Murder,33,2020,0
41,Adilabad,8.51,1.65,Bodily Crimes,Murder,11,2020,0
42,Bhadradri Kothagudem,13.96,1.07,Bodily Crimes,Murder,22,2020,0
43,Jagtial,9.85,2.84,Bodily Crimes,Murder,24,2020,0
44,Jayashankar Bhupalpally,4.5,2.89,Bodily Crimes,Murder,10,2020,0
45,Jogulamba Gadwal,6.09,3.28,Bodily Crimes,Murder,8,2020,0
46,Kamareddy,9.94,3.02,Bodily Crimes,Murder,28,2020,0
47,Kumaram Bheem Asifabad,5.38,3.16,Bodily Crimes,Murder,18,2020,0
48,Mahabubabad,7.74,2.58,Bodily Crimes,Murder,16,2020,0
49,Mahabubnagar,9.16,2.51,Bodily Crimes,Murder,16,2020,0
50,Medak,7.67,3.65,Bodily Crimes,Murder,26,2020,0
51,Mulugu,2.94,2.04,Bodily Crimes,Murder,6,2020,0
52,Nagarkumool,8.61,2.67,Bodily Crimes,Murder,25,2020,0
53,Nalgonda,16.18,3.28,Bodily Crimes,Murder,26,2020,0
54,Narayanpet,5.66,1.94,Bodily Crimes,Murder,6,2020,0
55,Nirmal,7.09,1.83,Bodily Crimes,Murder,19,2020,0
56,Rajanna Sircilla,5.98,2.34,Bodily Crimes,Murder,13,2020,0
57,Sanga Reddy,15.27,3.67,Bodily Crimes,Murder,34,2020,0
58,Suryapet,10.99,2.46,Bodily Crimes,Murder,24,2020,0
59,Vikarabad,9.41,3.29,Bodily Crimes,Murder,21,2020,0
60,Wanaparthy,5.77,1.56,Bodily Crimes,Murder,11,2020,0
61,RP Secunderabad,,,Bodily Crimes,Murder,0,2020,0
